Facility Name,Facility ID,State,Measure Name,Number of Discharges,Footnote,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
KAISER FOUNDATION HOSPITAL AND REHAB CENTER,50073,CA,READM-30-PN-HRRP,N/A,,17.5145,17.9344,Too Few to Report,07/01/2017,12/01/2019
KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,50075,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,50075,CA,READM-30-AMI-HRRP,N/A,,14.1573,14.2188,Too Few to Report,07/01/2017,12/01/2019
KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,50075,CA,READM-30-COPD-HRRP,70,,21.8902,21.4946,17,07/01/2017,12/01/2019
KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,50075,CA,READM-30-HF-HRRP,106,,22.9266,21.6977,28,07/01/2017,12/01/2019
KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,50075,CA,READM-30-PN-HRRP,102,,16.7610,17.2536,15,07/01/2017,12/01/2019
KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,50075,CA,READM-30-HIP-KNEE-HRRP,0,7,N/A,N/A,N/A,07/01/2017,12/01/2019
KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,50076,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,50076,CA,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,50076,CA,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,50076,CA,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,50076,CA,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,50076,CA,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
SCRIPPS MERCY HOSPITAL,50077,CA,READM-30-CABG-HRRP,N/A,,11.0755,11.7302,Too Few to Report,07/01/2017,12/01/2019
SCRIPPS MERCY HOSPITAL,50077,CA,READM-30-AMI-HRRP,128,,13.2626,13.7315,15,07/01/2017,12/01/2019
SCRIPPS MERCY HOSPITAL,50077,CA,READM-30-COPD-HRRP,257,,20.2451,20.9341,49,07/01/2017,12/01/2019
SCRIPPS MERCY HOSPITAL,50077,CA,READM-30-HF-HRRP,472,,24.7498,22.2670,124,07/01/2017,12/01/2019
SCRIPPS MERCY HOSPITAL,50077,CA,READM-30-PN-HRRP,519,,16.9695,16.5189,90,07/01/2017,12/01/2019
SCRIPPS MERCY HOSPITAL,50077,CA,READM-30-HIP-KNEE-HRRP,349,,4.2521,3.9856,16,07/01/2017,12/01/2019
PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,50078,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,50078,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,50078,CA,READM-30-COPD-HRRP,N/A,,20.7857,20.3104,Too Few to Report,07/01/2017,12/01/2019
PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,50078,CA,READM-30-HF-HRRP,110,,19.6899,20.5161,19,07/01/2017,12/01/2019
PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,50078,CA,READM-30-HIP-KNEE-HRRP,N/A,,3.9810,4.2686,Too Few to Report,07/01/2017,12/01/2019
PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,50078,CA,READM-30-PN-HRRP,156,,14.4766,15.0220,20,07/01/2017,12/01/2019
ST JOHNS REGIONAL MEDICAL CENTER,50082,CA,READM-30-AMI-HRRP,173,,19.3443,18.2705,37,07/01/2017,12/01/2019
ST JOHNS REGIONAL MEDICAL CENTER,50082,CA,READM-30-COPD-HRRP,159,,21.4370,21.2221,35,07/01/2017,12/01/2019
ST JOHNS REGIONAL MEDICAL CENTER,50082,CA,READM-30-CABG-HRRP,41,,16.1868,13.3025,11,07/01/2017,12/01/2019
ST JOHNS REGIONAL MEDICAL CENTER,50082,CA,READM-30-HF-HRRP,476,,25.6391,23.5021,128,07/01/2017,12/01/2019
ST JOHNS REGIONAL MEDICAL CENTER,50082,CA,READM-30-PN-HRRP,436,,18.5190,17.9564,83,07/01/2017,12/01/2019
ST JOHNS REGIONAL MEDICAL CENTER,50082,CA,READM-30-HIP-KNEE-HRRP,N/A,,4.1267,4.1855,Too Few to Report,07/01/2017,12/01/2019
ST JOSEPH'S MEDICAL CENTER OF STOCKTON,50084,CA,READM-30-AMI-HRRP,350,,14.9931,15.1156,52,07/01/2017,12/01/2019
ST JOSEPH'S MEDICAL CENTER OF STOCKTON,50084,CA,READM-30-HIP-KNEE-HRRP,N/A,,3.4951,3.9332,Too Few to Report,07/01/2017,12/01/2019
ST JOSEPH'S MEDICAL CENTER OF STOCKTON,50084,CA,READM-30-COPD-HRRP,156,,18.7630,19.0357,28,07/01/2017,12/01/2019
ST JOSEPH'S MEDICAL CENTER OF STOCKTON,50084,CA,READM-30-CABG-HRRP,133,,15.0082,13.0511,23,07/01/2017,12/01/2019
ST JOSEPH'S MEDICAL CENTER OF STOCKTON,50084,CA,READM-30-HF-HRRP,485,,23.7900,21.5544,122,07/01/2017,12/01/2019
ST JOSEPH'S MEDICAL CENTER OF STOCKTON,50084,CA,READM-30-PN-HRRP,454,,19.4051,16.7242,99,07/01/2017,12/01/2019
COMMUNITY HOSPITAL OF SAN BERNARDINO,50089,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
COMMUNITY HOSPITAL OF SAN BERNARDINO,50089,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
COMMUNITY HOSPITAL OF SAN BERNARDINO,50089,CA,READM-30-COPD-HRRP,54,,22.1433,21.1788,16,07/01/2017,12/01/2019
COMMUNITY HOSPITAL OF SAN BERNARDINO,50089,CA,READM-30-HF-HRRP,N/A,,21.7596,21.9066,Too Few to Report,07/01/2017,12/01/2019
COMMUNITY HOSPITAL OF SAN BERNARDINO,50089,CA,READM-30-PN-HRRP,58,,19.0235,17.7836,16,07/01/2017,12/01/2019
COMMUNITY HOSPITAL OF SAN BERNARDINO,50089,CA,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
SONOMA VALLEY HOSPITAL,50090,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
SONOMA VALLEY HOSPITAL,50090,CA,READM-30-HIP-KNEE-HRRP,N/A,,4.5614,4.3944,Too Few to Report,07/01/2017,12/01/2019
SONOMA VALLEY HOSPITAL,50090,CA,READM-30-COPD-HRRP,N/A,,18.0905,18.6761,Too Few to Report,07/01/2017,12/01/2019
SONOMA VALLEY HOSPITAL,50090,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
SONOMA VALLEY HOSPITAL,50090,CA,READM-30-HF-HRRP,N/A,,17.4573,18.7070,Too Few to Report,07/01/2017,12/01/2019
SONOMA VALLEY HOSPITAL,50090,CA,READM-30-PN-HRRP,N/A,,13.6829,14.7809,Too Few to Report,07/01/2017,12/01/2019
COMMUNITY HOSPITAL OF HUNTINGTON PARK,50091,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
COMMUNITY HOSPITAL OF HUNTINGTON PARK,50091,CA,READM-30-AMI-HRRP,N/A,,23.0290,23.2959,Too Few to Report,07/01/2017,12/01/2019
COMMUNITY HOSPITAL OF HUNTINGTON PARK,50091,CA,READM-30-COPD-HRRP,60,,23.6506,22.6995,18,07/01/2017,12/01/2019
COMMUNITY HOSPITAL OF HUNTINGTON PARK,50091,CA,READM-30-HF-HRRP,105,,26.1215,24.1058,33,07/01/2017,12/01/2019
COMMUNITY HOSPITAL OF HUNTINGTON PARK,50091,CA,READM-30-PN-HRRP,68,,18.6077,18.7740,12,07/01/2017,12/01/2019
COMMUNITY HOSPITAL OF HUNTINGTON PARK,50091,CA,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
SAINT AGNES MEDICAL CENTER,50093,CA,READM-30-AMI-HRRP,356,,16.6230,15.5792,63,07/01/2017,12/01/2019
SAINT AGNES MEDICAL CENTER,50093,CA,READM-30-HIP-KNEE-HRRP,477,,4.2897,4.1628,21,07/01/2017,12/01/2019
SAINT AGNES MEDICAL CENTER,50093,CA,READM-30-COPD-HRRP,576,,21.6276,20.3688,130,07/01/2017,12/01/2019
SAINT AGNES MEDICAL CENTER,50093,CA,READM-30-CABG-HRRP,98,,14.0600,12.6973,16,07/01/2017,12/01/2019
SAINT AGNES MEDICAL CENTER,50093,CA,READM-30-HF-HRRP,1126,,23.8174,22.1733,273,07/01/2017,12/01/2019
SAINT AGNES MEDICAL CENTER,50093,CA,READM-30-PN-HRRP,1059,,17.4373,16.6451,188,07/01/2017,12/01/2019
"WEST COVINA MEDICAL CENTER, INC",50096,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
"WEST COVINA MEDICAL CENTER, INC",50096,CA,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
"WEST COVINA MEDICAL CENTER, INC",50096,CA,READM-30-COPD-HRRP,N/A,,15.8409,17.7623,Too Few to Report,07/01/2017,12/01/2019
"WEST COVINA MEDICAL CENTER, INC",50096,CA,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
"WEST COVINA MEDICAL CENTER, INC",50096,CA,READM-30-PN-HRRP,N/A,,15.2385,15.6917,Too Few to Report,07/01/2017,12/01/2019
"WEST COVINA MEDICAL CENTER, INC",50096,CA,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
SAN ANTONIO REGIONAL HOSPITAL,50099,CA,READM-30-AMI-HRRP,210,,18.9322,18.5571,41,07/01/2017,12/01/2019
SAN ANTONIO REGIONAL HOSPITAL,50099,CA,READM-30-HIP-KNEE-HRRP,N/A,,3.9979,3.6112,Too Few to Report,07/01/2017,12/01/2019
SAN ANTONIO REGIONAL HOSPITAL,50099,CA,READM-30-COPD-HRRP,157,,20.6793,19.8807,36,07/01/2017,12/01/2019
SAN ANTONIO REGIONAL HOSPITAL,50099,CA,READM-30-CABG-HRRP,N/A,,14.7004,15.0879,Too Few to Report,07/01/2017,12/01/2019
SAN ANTONIO REGIONAL HOSPITAL,50099,CA,READM-30-HF-HRRP,374,,22.2867,23.0814,81,07/01/2017,12/01/2019
SAN ANTONIO REGIONAL HOSPITAL,50099,CA,READM-30-PN-HRRP,551,,19.4484,17.4863,115,07/01/2017,12/01/2019
SHARP MEMORIAL HOSPITAL,50100,CA,READM-30-PN-HRRP,508,,15.1928,15.6685,75,07/01/2017,12/01/2019
SHARP MEMORIAL HOSPITAL,50100,CA,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
SHARP MEMORIAL HOSPITAL,50100,CA,READM-30-COPD-HRRP,217,,21.4792,20.4697,51,07/01/2017,12/01/2019
SHARP MEMORIAL HOSPITAL,50100,CA,READM-30-HF-HRRP,531,,23.5453,21.8622,130,07/01/2017,12/01/2019
SHARP MEMORIAL HOSPITAL,50100,CA,READM-30-AMI-HRRP,151,,14.2333,14.6048,20,07/01/2017,12/01/2019
SHARP MEMORIAL HOSPITAL,50100,CA,READM-30-HIP-KNEE-HRRP,290,,3.9307,4.0196,11,07/01/2017,12/01/2019
SUTTER SOLANO MEDICAL CENTER,50101,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
SUTTER SOLANO MEDICAL CENTER,50101,CA,READM-30-HIP-KNEE-HRRP,188,,4.9369,4.2415,12,07/01/2017,12/01/2019
SUTTER SOLANO MEDICAL CENTER,50101,CA,READM-30-PN-HRRP,159,,16.7361,16.4117,28,07/01/2017,12/01/2019
SUTTER SOLANO MEDICAL CENTER,50101,CA,READM-30-COPD-HRRP,128,,19.1859,19.7470,22,07/01/2017,12/01/2019
SUTTER SOLANO MEDICAL CENTER,50101,CA,READM-30-AMI-HRRP,N/A,,18.1349,19.4014,Too Few to Report,07/01/2017,12/01/2019
SUTTER SOLANO MEDICAL CENTER,50101,CA,READM-30-HF-HRRP,167,,18.9555,20.3787,27,07/01/2017,12/01/2019
PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,50102,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,50102,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,50102,CA,READM-30-COPD-HRRP,70,,20.0164,19.3584,17,07/01/2017,12/01/2019
PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,50102,CA,READM-30-HF-HRRP,64,,22.8907,20.8101,21,07/01/2017,12/01/2019
PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,50102,CA,READM-30-HIP-KNEE-HRRP,N/A,,3.8319,3.5687,Too Few to Report,07/01/2017,12/01/2019
PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,50102,CA,READM-30-PN-HRRP,166,,22.3012,19.5599,47,07/01/2017,12/01/2019
WHITE MEMORIAL MEDICAL CENTER,50103,CA,READM-30-AMI-HRRP,56,,19.4374,19.0958,12,07/01/2017,12/01/2019
WHITE MEMORIAL MEDICAL CENTER,50103,CA,READM-30-HIP-KNEE-HRRP,N/A,,4.2352,4.3655,Too Few to Report,07/01/2017,12/01/2019
WHITE MEMORIAL MEDICAL CENTER,50103,CA,READM-30-COPD-HRRP,54,,24.9861,24.3433,16,07/01/2017,12/01/2019
WHITE MEMORIAL MEDICAL CENTER,50103,CA,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
WHITE MEMORIAL MEDICAL CENTER,50103,CA,READM-30-HF-HRRP,169,,25.0775,23.4440,47,07/01/2017,12/01/2019
WHITE MEMORIAL MEDICAL CENTER,50103,CA,READM-30-PN-HRRP,166,,18.5532,18.0035,33,07/01/2017,12/01/2019
SAINT FRANCIS MEDICAL CENTER,50104,CA,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
SAINT FRANCIS MEDICAL CENTER,50104,CA,READM-30-AMI-HRRP,N/A,,18.9327,18.1914,Too Few to Report,07/01/2017,12/01/2019
SAINT FRANCIS MEDICAL CENTER,50104,CA,READM-30-COPD-HRRP,130,,21.8351,21.6886,29,07/01/2017,12/01/2019
SAINT FRANCIS MEDICAL CENTER,50104,CA,READM-30-HF-HRRP,183,,23.9582,24.2547,43,07/01/2017,12/01/2019
SAINT FRANCIS MEDICAL CENTER,50104,CA,READM-30-PN-HRRP,219,,20.8823,20.5395,47,07/01/2017,12/01/2019
SAINT FRANCIS MEDICAL CENTER,50104,CA,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
MARIAN REGIONAL MEDICAL CENTER,50107,CA,READM-30-AMI-HRRP,196,,15.3846,15.4249,30,07/01/2017,12/01/2019
MARIAN REGIONAL MEDICAL CENTER,50107,CA,READM-30-HIP-KNEE-HRRP,554,,3.7381,3.8910,20,07/01/2017,12/01/2019
MARIAN REGIONAL MEDICAL CENTER,50107,CA,READM-30-COPD-HRRP,259,,18.6638,18.7357,48,07/01/2017,12/01/2019
MARIAN REGIONAL MEDICAL CENTER,50107,CA,READM-30-CABG-HRRP,N/A,,10.3414,12.4096,Too Few to Report,07/01/2017,12/01/2019
MARIAN REGIONAL MEDICAL CENTER,50107,CA,READM-30-HF-HRRP,484,,19.8078,20.7072,93,07/01/2017,12/01/2019
MARIAN REGIONAL MEDICAL CENTER,50107,CA,READM-30-PN-HRRP,651,,16.7466,16.2878,111,07/01/2017,12/01/2019
"SUTTER MEDICAL CENTER, SACRAMENTO",50108,CA,READM-30-CABG-HRRP,326,,11.5561,13.0991,35,07/01/2017,12/01/2019
"SUTTER MEDICAL CENTER, SACRAMENTO",50108,CA,READM-30-AMI-HRRP,439,,14.6318,15.4703,61,07/01/2017,12/01/2019
"SUTTER MEDICAL CENTER, SACRAMENTO",50108,CA,READM-30-COPD-HRRP,182,,21.0152,19.9367,43,07/01/2017,12/01/2019
"SUTTER MEDICAL CENTER, SACRAMENTO",50108,CA,READM-30-HF-HRRP,533,,22.8634,22.4778,123,07/01/2017,12/01/2019
"SUTTER MEDICAL CENTER, SACRAMENTO",50108,CA,READM-30-PN-HRRP,351,,16.1640,16.3320,56,07/01/2017,12/01/2019
"SUTTER MEDICAL CENTER, SACRAMENTO",50108,CA,READM-30-HIP-KNEE-HRRP,670,,3.6790,3.8160,24,07/01/2017,12/01/2019
LOMPOC VALLEY MEDICAL CENTER,50110,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
LOMPOC VALLEY MEDICAL CENTER,50110,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
LOMPOC VALLEY MEDICAL CENTER,50110,CA,READM-30-COPD-HRRP,74,,17.4967,17.2856,14,07/01/2017,12/01/2019
LOMPOC VALLEY MEDICAL CENTER,50110,CA,READM-30-HF-HRRP,93,,19.8057,19.0237,21,07/01/2017,12/01/2019
LOMPOC VALLEY MEDICAL CENTER,50110,CA,READM-30-HIP-KNEE-HRRP,N/A,,3.8417,3.7911,Too Few to Report,07/01/2017,12/01/2019
LOMPOC VALLEY MEDICAL CENTER,50110,CA,READM-30-PN-HRRP,105,,14.6746,14.5494,16,07/01/2017,12/01/2019
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,50112,CA,READM-30-AMI-HRRP,N/A,,14.3300,16.2350,Too Few to Report,07/01/2017,12/01/2019
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,50112,CA,READM-30-COPD-HRRP,128,,20.8636,21.9685,22,07/01/2017,12/01/2019
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,50112,CA,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,50112,CA,READM-30-HF-HRRP,371,,21.3553,23.4497,73,07/01/2017,12/01/2019
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,50112,CA,READM-30-PN-HRRP,625,,18.2200,17.6982,116,07/01/2017,12/01/2019
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,50112,CA,READM-30-HIP-KNEE-HRRP,463,,5.4824,4.7458,28,07/01/2017,12/01/2019
SAN MATEO MEDICAL CENTER,50113,CA,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,07/01/2017,12/01/2019
SAN MATEO MEDICAL CENTER,50113,CA,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
SAN MATEO MEDICAL CENTER,50113,CA,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
SAN MATEO MEDICAL CENTER,50113,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
SAN MATEO MEDICAL CENTER,50113,CA,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
SAN MATEO MEDICAL CENTER,50113,CA,READM-30-PN-HRRP,N/A,,14.0929,14.5245,Too Few to Report,07/01/2017,12/01/2019
PALOMAR HEALTH DOWNTOWN CAMPUS,50115,CA,READM-30-CABG-HRRP,N/A,,11.1796,11.3161,Too Few to Report,07/01/2017,12/01/2019
PALOMAR HEALTH DOWNTOWN CAMPUS,50115,CA,READM-30-AMI-HRRP,194,,13.2834,13.7001,24,07/01/2017,12/01/2019
PALOMAR HEALTH DOWNTOWN CAMPUS,50115,CA,READM-30-COPD-HRRP,137,,19.4987,19.0037,29,07/01/2017,12/01/2019
PALOMAR HEALTH DOWNTOWN CAMPUS,50115,CA,READM-30-HF-HRRP,345,,20.8670,20.8642,72,07/01/2017,12/01/2019
PALOMAR HEALTH DOWNTOWN CAMPUS,50115,CA,READM-30-PN-HRRP,458,,16.2856,16.1917,75,07/01/2017,12/01/2019
PALOMAR HEALTH DOWNTOWN CAMPUS,50115,CA,READM-30-HIP-KNEE-HRRP,N/A,,3.7959,4.0114,Too Few to Report,07/01/2017,12/01/2019
NORTHRIDGE HOSPITAL MEDICAL CENTER,50116,CA,READM-30-AMI-HRRP,248,,18.9034,19.4879,45,07/01/2017,12/01/2019
NORTHRIDGE HOSPITAL MEDICAL CENTER,50116,CA,READM-30-HIP-KNEE-HRRP,N/A,,2.7932,4.1273,Too Few to Report,07/01/2017,12/01/2019
NORTHRIDGE HOSPITAL MEDICAL CENTER,50116,CA,READM-30-COPD-HRRP,113,,21.3156,21.8067,22,07/01/2017,12/01/2019
NORTHRIDGE HOSPITAL MEDICAL CENTER,50116,CA,READM-30-CABG-HRRP,N/A,,16.5871,16.2049,Too Few to Report,07/01/2017,12/01/2019
NORTHRIDGE HOSPITAL MEDICAL CENTER,50116,CA,READM-30-HF-HRRP,441,,23.6978,23.8755,104,07/01/2017,12/01/2019
NORTHRIDGE HOSPITAL MEDICAL CENTER,50116,CA,READM-30-PN-HRRP,360,,18.5575,18.7607,66,07/01/2017,12/01/2019
DOCTORS HOSPITAL OF MANTECA,50118,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
DOCTORS HOSPITAL OF MANTECA,50118,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
DOCTORS HOSPITAL OF MANTECA,50118,CA,READM-30-COPD-HRRP,147,,19.1819,18.3657,32,07/01/2017,12/01/2019
DOCTORS HOSPITAL OF MANTECA,50118,CA,READM-30-HF-HRRP,173,,21.4594,20.8507,39,07/01/2017,12/01/2019
DOCTORS HOSPITAL OF MANTECA,50118,CA,READM-30-PN-HRRP,200,,15.2646,15.3802,30,07/01/2017,12/01/2019
DOCTORS HOSPITAL OF MANTECA,50118,CA,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
ADVENTIST HEALTH HANFORD,50121,CA,READM-30-AMI-HRRP,104,,18.6805,16.7555,26,07/01/2017,12/01/2019
ADVENTIST HEALTH HANFORD,50121,CA,READM-30-HIP-KNEE-HRRP,N/A,,3.7251,3.9538,Too Few to Report,07/01/2017,12/01/2019
ADVENTIST HEALTH HANFORD,50121,CA,READM-30-COPD-HRRP,240,,20.6916,19.4924,55,07/01/2017,12/01/2019
ADVENTIST HEALTH HANFORD,50121,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
ADVENTIST HEALTH HANFORD,50121,CA,READM-30-HF-HRRP,407,,23.7233,21.8817,102,07/01/2017,12/01/2019
ADVENTIST HEALTH HANFORD,50121,CA,READM-30-PN-HRRP,475,,15.9648,15.2638,79,07/01/2017,12/01/2019
DAMERON HOSPITAL,50122,CA,READM-30-CABG-HRRP,N/A,,14.6921,16.3529,Too Few to Report,07/01/2017,12/01/2019
DAMERON HOSPITAL,50122,CA,READM-30-AMI-HRRP,N/A,,15.1517,15.3177,Too Few to Report,07/01/2017,12/01/2019
DAMERON HOSPITAL,50122,CA,READM-30-COPD-HRRP,N/A,,18.9842,19.6038,Too Few to Report,07/01/2017,12/01/2019
DAMERON HOSPITAL,50122,CA,READM-30-HF-HRRP,71,,21.2934,21.6579,14,07/01/2017,12/01/2019
DAMERON HOSPITAL,50122,CA,READM-30-PN-HRRP,N/A,,13.9137,15.1006,Too Few to Report,07/01/2017,12/01/2019
DAMERON HOSPITAL,50122,CA,READM-30-HIP-KNEE-HRRP,297,,4.4892,4.5731,13,07/01/2017,12/01/2019
USC VERDUGO HILLS HOSPITAL,50124,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
USC VERDUGO HILLS HOSPITAL,50124,CA,READM-30-HIP-KNEE-HRRP,161,,5.4276,4.2843,13,07/01/2017,12/01/2019
USC VERDUGO HILLS HOSPITAL,50124,CA,READM-30-COPD-HRRP,114,,19.1455,19.5411,20,07/01/2017,12/01/2019
USC VERDUGO HILLS HOSPITAL,50124,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
USC VERDUGO HILLS HOSPITAL,50124,CA,READM-30-HF-HRRP,170,,20.7750,20.2436,37,07/01/2017,12/01/2019
USC VERDUGO HILLS HOSPITAL,50124,CA,READM-30-PN-HRRP,375,,18.2688,16.0275,78,07/01/2017,12/01/2019
REGIONAL MEDICAL CENTER OF SAN JOSE,50125,CA,READM-30-PN-HRRP,631,,19.6088,16.1100,138,07/01/2017,12/01/2019
REGIONAL MEDICAL CENTER OF SAN JOSE,50125,CA,READM-30-CABG-HRRP,N/A,,13.2906,14.5024,Too Few to Report,07/01/2017,12/01/2019
REGIONAL MEDICAL CENTER OF SAN JOSE,50125,CA,READM-30-COPD-HRRP,153,,19.3743,19.2962,30,07/01/2017,12/01/2019
REGIONAL MEDICAL CENTER OF SAN JOSE,50125,CA,READM-30-HF-HRRP,530,,23.0125,20.6952,129,07/01/2017,12/01/2019
REGIONAL MEDICAL CENTER OF SAN JOSE,50125,CA,READM-30-AMI-HRRP,139,,15.7312,16.5086,19,07/01/2017,12/01/2019
REGIONAL MEDICAL CENTER OF SAN JOSE,50125,CA,READM-30-HIP-KNEE-HRRP,N/A,,4.8538,4.4037,Too Few to Report,07/01/2017,12/01/2019
VALLEY PRESBYTERIAN HOSPITAL,50126,CA,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
VALLEY PRESBYTERIAN HOSPITAL,50126,CA,READM-30-HIP-KNEE-HRRP,N/A,,4.6583,4.4946,Too Few to Report,07/01/2017,12/01/2019
VALLEY PRESBYTERIAN HOSPITAL,50126,CA,READM-30-PN-HRRP,245,,20.7849,20.4945,52,07/01/2017,12/01/2019
VALLEY PRESBYTERIAN HOSPITAL,50126,CA,READM-30-COPD-HRRP,71,,21.2707,21.5287,14,07/01/2017,12/01/2019
VALLEY PRESBYTERIAN HOSPITAL,50126,CA,READM-30-AMI-HRRP,90,,19.4596,19.3072,18,07/01/2017,12/01/2019
VALLEY PRESBYTERIAN HOSPITAL,50126,CA,READM-30-HF-HRRP,275,,24.7415,23.7018,71,07/01/2017,12/01/2019
WOODLAND MEMORIAL HOSPITAL,50127,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,07/01/2017,12/01/2019
WOODLAND MEMORIAL HOSPITAL,50127,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,07/01/2017,12/01/2019
